Mwaghavul,pl,PoS,IPA,Gloss,Examples
shang aghas,shwat ~,"ʃāŋ àɣàs, ʃwāt-",to extract a tooth,,
shàng ɗiil,,ʃàŋ ɗííl,scrotum,,
shang kàa put,,ʃāŋ kàà pūt,to pull out completely,SVC. Lit. ‘to-pull to-go-up to-come- out’. Àa cuk ni shang kàa put ɗi mpat ni The blade of the knife pulled out completely from the sheath. cf. kàa put,
sháng kàa put,,ʃáŋ kàà pūt,to have a strong palatable taste,SVC. Lit. ‘be- palatable to-go-up to-come-out’ Koghor ni sháng kàa put The kenaf condiment has a strong palatable taste. cf. kàa put,
shàng kwaghal,,ʃàŋ kwàɣàl,riverine animal,,
shang lée,shwat ~,ʃāŋ lɛɛ́,to undress; to take off,,
shàng lée,,ʃàŋ lɛɛ́,net for carrying loads,,
shàng mɨlom,,ʃàŋ m�́lɔ́m,net used to carry cocoyam or sweet potatoes,,
sháng mwos,,ʃáŋ mwɔ̀s,sugar-ant,also nsháng mwos,
shang nuk,shwat ~,ʃāŋ nūk,to marry a girl who has not previously been married,"lit. ‘to take off girls’ waist-skin’ called nuk and replace it with pinɓwoon, the loin-cloth for married women",
shàng pupwap,,ʃàŋ púpwáp,fishing net,,
shang sar,shwat sar,"ʃāŋ sár, ʃwāt sár",to withdraw from an action,,
shang sar,shwat sar,"ʃāŋ sár, ʃwāt sár",to slap s.o,,
shang sar,shwat sar,"ʃāŋ sár, ʃwāt-","to withdraw from a collective activity because one is not appreciated or supported, or to avoid unpleasant consequences",,
shàng sar,,ʃàŋ sár,local woman’s handbag,,
Shang shii nnoghol,,ʃāŋ ʃíí nnɔ̀ɣɔ̀l,ritual performed when a man inherits the wife of his brother,the brother provides a goat for this ritual,
Shang shii nnoghol,,ʃāŋ ʃíí nnɔ̀ɣɔ̀l,to perform the rites of inheriting the wife of one’s brother,lit. ‘to pull out leg from between the legs’ [of women implied],
shang-shang,,ʃáŋ ʃáŋ,"describes s.t. very sweet, tasty, delicious, enjoyable",,
shash,,ʃáʃ,to pick up; to carry a heavy load,,
shee,,ʃɛ̄ ɛ̄,to change; to begin anew; to restart; to be the first,,
shee làa,,ʃɛɛ̄ làà,first delivery; first-born child,cf. làa kɨcoo,
sheeɗi,,ʃɛɛ̄ ɗī,to change,,
sheeɗi,,ʃɛɛ̄ ɗī,change,,
sheem,,ʃɛɛ̄ m,"potash, made from ashes after distillation",,
sheem mbul,,ʃɛɛ̄ m mbūl,smut on guinea corn or millet,,
Sheemee,,ʃɛɛ̄ mɛɛ́,settlement in Panyam,,
sheep,,ʃɛɛ̄ p,thick bush; wood; wooden ladder; wooden cross; support,,
sheep múut k�̀ Jesu,,ʃɛɛ̄ p múút k�̀ ʤɛ́sù,cross of Jesus,recent coinage,
sheepkɨpang,,ʃɛɛ̄ pk�̀pàŋ,main entrance to the compound; logs used to block the main entrance into the compound,,
shi,,ʃì,by; with,Mo la shagal shi ɓal They collected money by force; a cèt ni shi mwoor ʻyou cook it with oil’,
shi káa Mpang,,ʃì káá mpáŋ,describes doing s.t. for its own sake,lit. ‘with head of Ampang’,
shi kɨɓwoon,,ʃì k�̄ɓwɔɔ́ ́n,"describes going backwards, in reverse",,
shi koghorong bɨring,,ʃì kɔ̄ ɣɔ̄ rɔ̄ ŋ b�̀ríŋ,by heroism; by extraordinary effort,Ri waa a shi koghorong bɨring He returned home by heroism; Jep tangman ni mo se kyam ni a shi koghorong bɨring The students passed the examination by uncommon hard work,
shi mwen,,shì mwɛ́n,too much; exceedingly,Jogholtu a ngo ɗíidut shi mwen Jogholtu is an exceedingly short person; ri su shi mwen he runs exceedingly,
shi parci (shi parci),,ʃì pàrʧì (ʃì pàrʧì),occasionally; sometimes,,
shibal,,ʃìɓál,by force; strongly,,
shiɓil,,ʃīɓīl,peel; skin of certain fruits or vegetables,,
Shibɨlang,,ʃīb�̄làŋ,heaven; paradise,"It is believed that when good people die, they go to shibɨlang. also yil njii",
shiɓit,,ʃíɓít,stone altar; altar in general,"traditionally, shiɓit was built at the forecourt of the main family house by assembling stones round a thin, long and flat rock vertically positioned. It was at such altar that the killing of wild animals and other special moments were celebrated",
shiɓutlu,,ʃìɓūtlú,wall,also shuɓutlu,
shiɓutpee,,ʃìɓūtpɛɛ̄,wall of a trunk; big rock,also shitughurpee,
shidaar,,ʃīdāār,daily,also shidaar- shidaar,
shidaar- shidaar,,ʃīdāār ʃīdāār,daily; every day,Also shidaar. Ni ret ku wu se yil nNaan shidaar- shidaar It is good for you to worship God every day,
shiɗyes,,ʃìɗyɛ̄ s,designated place for children to pass their stool,,
shii,,ʃíí,leg; foot,,
shii ɓ�̀gh�̀t,,ʃīī ɓ�ɣ�̀ ̀t,foot disease,The foot becomes painful in the rainy season,
shii dughul,,ʃīī dùɣùl,person who is flat-footed; condition of flat-footedness,also dughul,
shii girik,,ʃīī gìrìk,elephantiasis,"Begins with itching in the leg, which eventually swells to an enormous size",
shii mɓwoon,,pákbàà,person or thing not worth considering because they or it is insignificant; person who plays second fiddle; one who lags behind; laggard,cf. pakbaa,
shii ngoo,,ʃíí ŋɔɔ̄,tone mark; diacritic,Ran k�̀ mBaawaa mo gyar ɗen kɨ n�̀gh�̀n shii ngoo mo The Yoruba writing system has too many diacritics,
shii nkálang,,ʃíí nkálāŋ,game where children hop on one leg,,
shii put nkom,,ʃíí pūt nkɔ́m,dislocation of the pelvis or leg,,
shii put nkom,,ʃíí pūt nkɔ́m,to suffer dislocation of the pelvis or leg,,
shiiɓɨring,,ʃīīɓ�̀rìŋ,tyre,cf. shaghal ɓ�̀rìng,
Shiiɗiifeer,,ʃííɗíífɛɛ́ ́r,Thursday,also Shiifeer,
Shiifeer,,ʃíífɛɛ́ ́r,Thursday,also Shiiɗiifeer,
shiifeer,,ʃíífɛɛ́ ́r,anything with four wheels,,
shiilop,,ʃīī lɔ̀p,tip you give to a child for going on an errand,,
shiimwaan,,ʃīīmwāān,footstep,,
shiinaat,,ʃīīnààt,bird that eats maize,lit. ‘red foot’. Perhaps one of the red-legged francolins. It runs on the ground and then hides in a tuft of grass,
Shiirii,,ʃīīrìì,personal and communal spirit,"Afflicts victims with mental health problems, which can be cured by sacrifice. Also Kum nWong",
shiit,,ʃīīt,"act of pounding, grinding, or threshing grain for cooking",,
shiit,,ʃīīt,grain being processed for food,,
shiit mwoor,,ʃīīt mwɔɔ̀ ̀r,brown colour of animals (goat),,
shiiteer,,ʃīītɛɛ̀ ̀r,few days,,
shiiteer,,ʃīītɛɛ̀ ̀r,week,,
shiiteer ɗiisi,,ʃīītɛɛ̀ ̀r ɗíís�̀,these few days,,
shiitoghon,,ʃíítɔ́ɣɔ́n,soldier,also daaslek,
shik,suk,"ʃīk, sūk",your body (sg.f.),,
shik,,ʃīk,to germinate millet or other cereal for brewing,,
shìk,,ʃìk,matter; issue; affair,,
shìk mat,,ʃìk màt,wedding-related ceremony,lit. ‘matter of woman’. A small amount of beer is sent to the girl’s relations by the family of the boy. cf. pòo mat,
shikbish,,ʃìkbīʃ,sin; wrongdoing; transgression,lit. ‘issue bad’,
shìk�̀lìng,,ʃìk�̀lìŋ,radio,recent coinage,
shikoo,,ʃíkɔɔ̀,tree sp,,
shìlàk,,ʃìlàk,fonio weed whose grain looks like that of fonio,,
shilip,,ʃìlìp,raincoat,,
shilip nFyam,,ʃìlìp nfyàm,easily folded local raincoat for men,Made from raffia by the Fyem community,
shilip ngàng,,ʃìlìp ngàŋ,local raincoat made from palm leaves,,
shilip piil,,ʃìlìp pííl,local raincoat for women made from tar-grass,,
shilu shilu,,ʃìlú ʃìlú,describes moving from house to house,nyem ɗak yen mo nkaa cin yen ni a shilu shilu The health workers are treating people in every house,
shim,,ʃìm,leather; skin; hide,,
shim làa,,ʃìm làà,goat-skin used to strap little children to their mothers back,,
shim yit,,ʃìm yīt,eyelid,"cf. caap yit, kɨrim yit, shim yit",
shin,,ʃīn,body; his body,"This varies with the person and number possessing it. cf. san, sak, shik, sat, sun, suk, sut",
shin,sut,"ʃīn, sūt",himself,,
shinaakɨr,,ʃìnáák�̄r,television,recent coinage,
shing,,ʃìŋ,mortar; stool,,
shing,,ʃīŋ,isn’t it? is it not?,,
shini-shini,,ʃìnī ʃìnī,different; various,"a pèe ɗik ni ɓe mo jì kɨ mbiise mo shini-shini At the wedding, they brought different varieties of food",
shini-shini,,ʃìnī ʃìnī,differently; in various ways,,
ship,,ʃíp,to remove a pot from the fire,,
ship,shirip,ʃíp,to dismantle; to demolish; to collapse,both transitive and intransitive meanings,
shipee-shipee,,ʃìpɛɛ̄ ʃìpɛɛ̄,describes moving from place to place,nyem so ndang Naan mo kɨ mwaan sat pòo Naan ni ngurum mo a shipee-shipee Christians go around from place to place preaching to people,
shirip,,ʃīrīp,to pull down; to demolish; to destroy building etc.; to collapse,pl. of ship,
shirop,,ʃìrɔ̀p,ladies; women,pl. of mat,
shir-shir,,ʃìr ʃìr,describes blurred vision or partial darkness at dusk or twilight,pee ni a shir-shir ʻplace the is partially-dark’ the place is partially dark shir-shir. Ri kɨ naapee a shir- shir ʻhe PROG see FOC with-blurred- vision’ he sees with blurred vision shir- shir,
shishoor,,ʃíʃɔɔ́ ́r,"runny nose caused by cold, pepper, smoke, cry, etc",cf. sɨghɨm,
shishwaa,,ʃìʃwáá,goose-flesh,,
shit,,ʃīt,"grass, generic",,
shit bɨring,,ʃīt b�̀ríŋ,hay; fodder,,
shit kom,,ʃīt kɔ̄ m,grass worn on both ears by women as part of their costume,also kam kom,
shit long,,ʃīt lɔ̄ ŋ,fodder; forage,,
shit lu,,ʃīt lú,grass for thatching houses; thatch,,
shit pòo,,ʃīt pɔɔ̀,piece of grass worn on the two lips by women,it was part of the dressing in vogue in those days,
shitughur,,ʃìtúɣúr,"sloping area, edge of a cliff",,
shitughurlu,,ʃìtūɣūrlú,sloping part of a wall as in a dome,,
shitughurpee,,ʃìtūɣūrpɛɛ̄,wall of a trunk; big rock,also shiɓutpee,
shiyil shiyil,,ʃìyíl ʃìyíl,describes moving from one country to another or from one place to another,gurum mo shiyil shiyil kɨ àr bɨlip nyemsel furu mo People in different countries have different ways of electing their leaders,
shol,,ʃɔ̄ l,jollof acha; jollof guinea corn; jollof rice,favourites during naming ceremonies of children etc,
shon,,ʃɔ́n,malevolent spirit of the dead that returns to torment others; ghost; apparition,,
shoo,,ʃɔɔ̄,used clause-finally to emphasise what was said earlier,"làa ni a wat shoo the child is a thief as said earlier. cf. nyaa, nyoo",
shoop,,ʃɔɔ̄ p,hair in general,"also shwoop. Applies to compound words with shoop : shwoop káa, shwoop naghap, shwoop pòo, etc",
shóop,,ʃɔɔ́ ́p,to embarrass s.o.; to shame s.o,,
shoop byaap,,ʃwɔɔ̄ p byāāp,patch of hair left after a hair cut,typical of pupils at an Islamic school. H. zóngó,
shoop káa,,ʃɔɔ̄ p káá,hair on head,,
shoop naghap,,ʃɔɔ̄ p nàɣàp,hair on the armpit,,
shoop pòo,,ʃɔɔ̄ p pɔɔ̀,moustache,,
shoop yit,,ʃɔɔ̄ p yīt,eyelash,"also caap yit. cf. kɨrim yit, shim yit",
shooppee,,ʃɔɔ́ ́ppɛɛ̄,to embarrass s.o.; to shame s.o,,
shooppee,,ʃɔɔ́ ́ppɛɛ̄,act of embarrassing or shaming s.o.; being embarrassed,,
shoor,,ʃɔɔ̄ r,to scoop food or soup with hand or spoon,,
shóor,,ʃɔɔ́ ́r,to beat; to blow; to hit; to strike,,
shoor (…) maap,,ʃɔɔ̄ r mààp,to weep profusely,matkaa ni wura k�̀ baa ɓɨlang ɗi mmee làa fɨra ni ɗee wura teer shoor a maap ɗak shwèt-shwèt the widow has lost another child and she wept all night shwèt-shwèt,
shuɓutlu,,ʃùɓūtlú,wall,also shiɓutlu,
shughur,,ʃúɣúr,rat sp,,
shùrèt-shùrèt,,ʃùrɛ̀t ʃùrɛ̀t,"describes weeping that goes on and on, accompanied by excessive tears and a runny nose",mo baa wat putughup ɗi mmatpòo furu ni ku wura ɗee saa a laapiit ɗak shùrèt- shùrèt they upset the new wife so she is sniffling continuously,
shuu,,ʃūū,thread; cotton; boll,,
shwaa,,ʃwāā,to drink,,
shwáa,,ʃwáá,maize,Zea mays,
shwàa,,ʃwàà,to transplant,,
shwaa ɗyeel,,shwāā ɗyɛɛ̄ l,to smoke,,
shwaa káa,,ʃwāā káá,to overcome s.o. mentally,,
shwaa kut,,ʃwāā kút,to breathe,,
shwaa kut,,ʃwāā kút,to stroll,,
shwàa làà,,ʃwàà làà,traditional method of forcing babies to drink; to force-feed a baby,Their nostrils are closed by forcing them to gulp whatever liquid is offered to them,
shwaa liis,,ʃwāā líís,to suck the tongue,,
shwaa pòo,,ʃwāā pòò,to kiss one another,Western practice,
shwaa sar,,ʃwāā sár,to suck the finger,,
shwaajeel,,ʃwāāʤɛɛ́ ́l,to suffer,,
shwaajeel,,ʃwāāʤɛɛ́ ́l,suffering; hardship,,
shwaakyeen,,ʃwāā kyɛɛ̄ n,to be ahead,"cf. cínɓwoon, senɨghɨn",
shwaapee,,ʃwāāpɛɛ̄,drunkenness,,
shwaapee,,ʃwāāpɛɛ̄,to drink beer habitually,,
shwaapee,,ʃwāāpɛɛ̄,to sap s.o. of strength,,
shwaghar,,ʃwáɣár,"to be lean; to be shrivelled; to be wrinkled from heat, cold, age, hunger, illness, etc",,
shwàghàr,,ʃwàɣàr,gonorrhea,A sexually transmitted disease. Acute stomach pain and painful urination. H. ciwon tsanyi,
shwaghar- shwaghar,,ʃwáɣár- ʃwáɣár,"describes s.t. shrunken, shivelled",,
shwàl,,ʃwàl,to be long,,
shwàl,,ʃwàl,pain; illness; rauma,cf. muut,
shwàl ɓwoon,,ʃwàl ɓwɔɔ́ ́n,"waist pain, backache",also mùut ɓwoon,
shwàl jep,,ʃwàl ʤɛ́p,children’s disease,,
shwàl mat,,ʃwàl màt,sexually transmitted disease,(reference by men). Also mùut mat,
shwàl mish,,ʃwàl mìʃ,sexually transmitted disease,(reference by women). Also mùut mish,
shwal-shwal,,ʃwāl ʃwāl,describes an action that causes body pains,,
shwàl-shwal,,ʃwàl ʃwàl,describes s.t. long,,
shwan,,ʃwān,"to remove, convey plenty of things",,
shwàn,,ʃwàn,troublesomeness; recalcitrance,cf. tang shwan,
shwar,,ʃwār,to laugh,wura jì ɗel so ɓe mo piin shwar k�́sh-k�́sh she walked by and they burst out laughing k�́sh-k�́sh,
shwàr,,ʃwàr,laughter; mirth,wura jì ɗel so ɓe mo piin shwar k�́sh-k�́sh she walked by and they burst out laughing k�́sh-k�́sh,
shwar fii-fii,,ʃwār fìì fìì,to laugh mirthlessly,lit. ʻto laugh drily’,
shwar shak,,ʃwār ʃàk,to make fun of each other or one another,,
shwat,,ʃwāt,to withdraw; to pull out; to remove; to take out; to take off,sg. shang,
shwat káa,,ʃwāt káá,to arrange hair,into loose locks as the first stage of making ngɨzok dreadlocks,
shwat káa,,ʃwāt káá,arrangement of hair,into loose locks as the first stage of making ngɨzok dreadlocks,
shwat maap,,ɓāk mààp,to wail; to cry and shed tears profusely,cf. shwat maap,
shwat nyit,,ʃwāt nyīt,favouritism; sectionalism; tribalism,,
shwat nyit,,ʃwāt nyīt,"to show favouritism, sectionalism, tribalism",,
shwat sar,,ʃwāt sár,"to withdraw from a collective activity because one is not appreciated or supported, or to avoid unpleasant consequences",(plural of shang sar),
shwéng,,ʃwɛ́ŋ,describes spending the whole day on an activity,also tárásh. mu wet shwéng we spent the whole day (on an activity),
shwèr,,ʃwɛ̀r,describes liquid pouring down,,
shwèr-shwèr,,ʃwɛ̀r- ʃwɛ̀r,sound of rain or other liquid dripping,"mo teer nfwan ku ni ɓeer sham sɨ shwèr-shwèr it rained all night and it was dripping, shwèr-shwèr",
shwèt-shwèt,,ʃwɛ̀t- ʃwɛ̀t,describes sound of whipping or threshing millet/guinea corn with long sticks,,
shwoop,,ʃwɔɔ̄ p,hair in general,"also shoop. Applies to compound words with shwoop : shoop káa, shoop naghap, shoop pòo, etc",
siisɨ,,síís�̀,sixpence (6d) in the former currency,< H. No longer legal tender,
Siri,,sīrī,Spirit that protects children (kumjep),Once offended an animal must be sacrificed to appease it. These njii are specific to certain areas listed below,
a. Dong,,dɔ̄ ŋ,,Kojan,
b. Gunung,,gūnūŋ,,Fwangkoo,
c. Long feer,,lɔ̄ ŋfɛɛ̄ r,,Kocaan,
d. Manjor,,mānʤɔ̄ r,,Kuzung,
e. Ndòlcáap,,ndɔ̀lʧááp,,Pushit,
f. Rònggòng,,rɔ̀ŋgɔ̀ŋ,,Yitup,
sɨ,,s�́,there,,
sɨ̀,,sᵻ᷆,here,,
sɨɓel,,s�̄ɓɛ̄ l,wild cat,,
sɨɓel,,s�̄ɓɛ̄ l,to say s.t. false about s.o. to set others against him or her,,
sɨɓel,,s�̄ɓɛ̄ l,to stitch,,
sɨ̀ɓèl,,s�̀ɓɛ̀l,saying s.t. false to set people against each other,,
sɨɓelpee,,s�̄ɓɛ̄ lpɛɛ̄,to say s.t. false to set people against each other,,
sɨɓelpee,,s�̄ɓɛ̄ lpɛɛ̄,saying s.t. false to set people against each other,,
sɨɗɨk,,s�ɗ�̀ ̀k,lovebird,Agapornis spp,
sɨghɨm,,s�ɣ� ̄m,to cough,,
sɨghɨm,,s�ɣ� ̄m,cough,,
sɨghɨm gɨ́lók,,s�ɣ� ̄m g�́lɔ́k,whooping cough,Also sɨghɨm hiik,
sɨghɨm hiik,,s�ɣ� ̄m híík,whooping cough,"Also sɨghɨm g�́lók. Begins with a cough, followed by severe blockage of the nose and shortness of breath. Common in children. H. tarin jaki",
sɨghɨn,,s�ɣ� ̄n,to mix meat with salt and oil by shaking it sideways,cf. zɨk,
sɨghɨn,,s�ɣ� ̄n,to shake; to move,,
sɨghɨp,,s�ɣ�̀ ̀p,hammer,,
sɨghɨr,,s�ɣ� ̄r,to become old,,
sɨghɨr,,s�ɣ� ̄r,in-law,one married to either your sister or brother etc. including members of his or her family,
sɨghɨr,,s�ɣ� ̄r,dew,,
sɨ̀ghɨ̀r,,s�ɣ�̀ ̀r,state of being old,,
sɨghɨt,,s�ɣ�́ ́t,to complete; to finalise,,
sɨghɨt,,s�ɣ�́ ́t,task at completion stage,ɗak ni a sɨghɨt ni the work is at completion stage,
sɨghɨt,,s�ɣ�́ ́t,finally; further; increasingly,dɨkáa wuri sɨghɨt weel ntook jéghérék-jéghérék the man with the big head increasingly has a thin neck jéghérék-,
sɨghɨt pòo,,s�ɣ� ̄t pɔɔ̀,last-born child,jéghérék,
sɨlak,,s�̄lāk,to carve; to chisel; to till; to strike with a sharp object (pl.),sg. sak,
sɨ́lák,,s�́lák,spear with barbs,"The third spear to be used. It has barbs on its edges, and cannot be easily removed. cf. kòp",
sɨlak ntook,,s�̄lāk ntɔɔ́ ́k,to nod the head while dancing,A typical Mwaghavul gesture,
sɨmes,,s�́mɛ̀s,caterpillar sp,Also nsɨmes,
sɨr,,s�̄r,to paint s.t,,
sɨr,,s�̄r,to make s.o. used to and bear an unpleasant situation; to inure s.o. to s.t,Poobish k�̀ matpoo ni k�̀ sɨr an I am inured to the harsh language of the bride,
sɨr,,s�̄r,"to cluster (insects, tiny plants, tiny particles)",Mulum ni sɨr cɨghɨr nkaa shiɓut tughun àm ni The algae clusters around the hollow of the well. cf. mwan,
sɨ̀r,,s�̀r,chew-stick tree,Used in producing fire by friction. H. marke,
sɨram,,s�̄rām,to beat (plural),cf. nung,
sɨrap,,s�̀ràp,boil; pimple,"Begins with a fever, then lumps appear, which may break open and form a wound. H. maruru",
sɨrep,,s�̄rɛ̄ p,to buy (pl.),sg. seet,
sɨrep kɨ,,s�̄rɛ̄ p k�́,to sell (pl.),sg. seet kɨ,
sɨsɨ,,s�́s�́,certain; of sorts,mee gwar sɨsɨ jì kàt gha jee a certain man visited you in your abscence,
sɨyoon,,s�̄yɔɔ̄ n,to harvest fruit,"by beating them down and littering or throwing many of them about, especially the unripe ones",
sɨzaal,,s�́zàál,cobweb; spiders’web,also zaal,
sɨzaal,,s�́zàál,internet,recent coinage,
so,,sɔ̀,to go; to proceed,cf. jì,
so ɗik,,sɔ̀ ɗīk,to marry,(when a woman marries a man),
so mwaan,,sɔ̀ mwāān,to pay a visit to others,,
so mwaan,,sɔ̀ mwāān,paying a visit to others,,
so nkar,,sò nkár,to fall in love with a woman betrothed to s.o. else,,
so nshwáa,,sɔ̀ nʃwáá,to determine guilt in traditional way,Two suspects or their cockerels are forced to drink a mixture. The first cock to die confirms that its owner is guilty. The plant known as k�̀sóm was used,
so nshwáa,,sɔ̀ nʃwáá,traditional process of determining guilt,"in which suspects or their cocks are forced to drink a mixture, and the owner of the first cock to die is convicted",
so nten ndol,,sɔ̀ ntɛ̀n ndɔ́l,to be serving a jail term,Ra k�̀ so nten ndol She is serving time. cf. so ten ndol,
so nten ndol,,sɔ̀ ntɛ̀n ndɔ́l,imprisonment; confinement; incarceration; custody,,
so ten ndol,,sɔ̀ tɛ̀n ndɔ́l,to have served jail term,Gyet doghon tagham ɓe gwar ni so ten ndol mPankshin Last year the man served time in Pankshin. cf. so nten ndol,
so tughum,so twagham,sɔ̀ tùɣùm,to disappear in the distance by moving out of sight,,
so yàghàl,,sɔ̀ yàɣàl,to go for farm work away from home,cf. put mbong,
sóghó,,sɔ́ɣɔ́,traditional horse racing,also sóo,
sogho maar,,sɔ̄ ɣɔ̄ máár,method of farming,"as a weed control measure, the farm is haphazardly cultivated before proper cultivation at a later time when the weed has decomposed",
sogho reep,,sɔ̄ ɣɔ̄ rɛɛ̄ p,"traditional horse racing at equal pace, neck and neck","Formerly organised as part of hunting expeditions. One objective was to impress women and the public in general. A good jockey, hunter, farmer and even dancer could acquire a new wife through his impressive performance",
soghom,,sɔ̄ ɣɔ̄ m,horn,,
soghor,,sɔ́ɣɔ́r,plant used to produce fire by friction,cf. pyaghar wus,
soghot,,sɔ̄ ɣɔ̄ t,witch; wizard; sorcerer,,
som,,sɔ́m,"to thresh corn, maize, etc. in the mortar; to thresh kenaf on a threshing floor",,
song,,sɔ́ŋ,branch,"(tree, road, organisation)",
song ting,,sɔ̄ ŋ tíŋ,branch of tree,,
songyil,,sɔ̄ ŋyíl,local government area,"cf. dɨngyil, g�̀tyil, kwangyil, làayil, tukyil, yilser",
sóo,,sɔɔ́,traditional horse racing,also sóghó,
su,swa,"sù, swā",to run; to speed (car),,
su,,sù,to be slimy (cereal drink); to be less slimy than required (draw soup),cf. kɨram,
sughul,,súɣúl,"to be tough, strong (meat, cloth, cord, plant, farmland); to be difficult to cut or pierce",,
sughul,,súɣúl,to persevere; to persist,"cf. ɗìin, vùun",
sughul,,súɣúl,to be miserly; to be mean,,
súghúl-súghúl,,súɣúl súɣúl,describes s.t. difficult to cut or pierce,,
sughun,,sūɣūn,to dream,,
sùghùn,,sùɣùn,dream; revelation,,
sughup,,sūɣūp,to bathe; to shower; to wash s.o,,
súghúp,,súɣúp,small animal sp,,
sughur,,sūɣūr,to fry,,
suk,,sūk,your pl. body,,
suk,,sūk,yourselves (inclusive),wu tap an suk kɨ múut k�̀ nɨghɨn fuu ni. Don’t indulge in self-pity over the death of your mother,
sul,sulwang,"sùl, sūlwāŋ",to pierce; to penetrate,,
sule,,súlɛ̀,shilling in former currency,< H,
sulwang,,sūlwāŋ,to pierce; to penetrate,"plural of sul, ɓyang",
sulwang,,sùlwàŋ,troublesomeness; unexpected calamity or trouble,,
sulwang pòo,,sūlwāŋ pɔɔ̀,"to make insulting or rebuking comments, statements",lit. ‘to pierce mouth’,
sum,,sūm,to eat grains,,
sum,,súm,name; fame; reputation,,
sum aghas,,sūm àɣàs,to gnash teeth,,
sum shwáa,,sūm ʃwáá,to eat maize,,
sumcaar,,súmʧáár,plant sp. used in soup,also nsumcaar. (see pumbwan),
sumcaar,,súmʧáár,swallow (bird spp.),also nsumcaar. Hirundo spp. H. allalaka,
sumpoo,,sūmpɔɔ̀,proverb; wise saying,cf. nnyam,
súm-sùm,,súm sùm,real name; actual name,Ba mengo man súm-sùm fɨri kas No one knows his real name,
sun,,sūn,our body,s.g. san,
sun,,sūn,to dry up; to evaporate,,
sun,,sūn,ourselves,s.g. san,
sùn,,sùn,iburu variety,planted near the stream cf. kusuk,
sung,,sùŋ,infected cocoyam sett,the plant usually grows taller than the good ones,
sup,,sūp,to cover; to invert,,
susar,,sùsár,to creep (plant); to multiply (enterprise),,
sushii,,sùʃíí,running,,
sut,,sūt,their bodies,,
sut,,sūt,themselves,,
swa,,swā,to run (pl.); to rush; to scramble; to hurry,plural of su,
swap,,swāp,to share out; to give freely,,
ta,,tā,specific season or period,ta máar farming season,
ta lok,,tā lɔ̀k,"early wet season, March May",,
ta lughun,,tā lúɣún,"harmattan; dry season, DecemberFebruary",,
ta neen,,tā nɛɛ̄ n,period of hunger in the Mwaghavul community,This was between the months of June and September when none of the farm crops were ripe,
ta pas,,tā pās,"rainy season, June August",,
ta waap,,tā wááp,"harvest season, September- November",,
taa,,táá,"to be adequate (food, drink or anything that can be exhausted)",,
taa,ɗyong,táá,to fall; to drop,,
taa,,táá,to stop over; to stop by; to stop off,,
tàa,,tàà,to beat the drum; to play the xylophone and other musical instruments; to blow a wind instrument,,
taa akyeen,,táá ākyɛɛ̄ n,to go in front; to go ahead; to precede,"Kàt gurum mo mmwaan ɓe a ɗiilee ni kɨ taa akyeen When people are walking, the younger one goes in front",
taa àm,,táá àm,"to become watery (of rice, vegetables, etc. left for some time)",,
tàa fiip,,tàà fīīp,to whistle,also tàa piip,
tàa gɨng,,tàà g�̀ŋ,to beat drum,,
taa kyeen,,táá kyɛɛ̄ n,to precede; to spearhead; to be older than; to be ahead of,used with dative. Caamun taa kyeen mmo Caamun is older than (or is ahead of) them,
taa mɓwoon,,táá mɓwɔɔ́ ́n,to go behind; to go later; to succeed,"Kàt gurum mo mmwaan ɓe a ɗiiɗes ni kɨ taa mɓwoon When people are walking, the older one goes behind",
tàa naghap,,tàà nàɣàp,to express happiness,,
tàa naghap,,tàà nàɣàp,expression of happiness,,
tàa njweng,,tàà nʤwɛ́ŋ,to play the flute,,
tàa piip,,tàà pīīp,to whistle,also tàa fiip,
taa sheem,,táá ʃɛɛ̄ m,to produce potash,through distillation of ashes,
taa sheem,,tááʃɛɛ̄ m,production of potash,through distillation of ashes,
taa sɨghɨr,,táá s�̄ɣ�̄r,to form dew,Pee ni teer taa sɨghɨr The weather formed dew last night,
taa sushii,,táá sùʃíí,to suddenly begin to run,As ni taa sushii ndang gwar ni The dog suddenly began to run after the man,
taa tɨleng,,táá t�́lɛ̀ŋ,to precede; to spearhead; to lead; to arrive earlier; to be a forerunner,,
taa waazaa,,táá wàázāā,"to perform the waazaa female dance during a male dance, especially velang",,
taa nwong,,táá nwɔ̄ ŋ,to be reincarnated,"the Mwaghavul believe in reincarnation. The reincarnated person usually resembles the former self and, without being told, may know certain thing done by the former being",
taaɓook,,"tááɓɔɔ̀ ̀k, túɓɔɔ̀ ̀k",to be mushy (food or soil),also tuɓook,
taaɗogho,,tááɗɔ́ɣɔ́,cock-crow; crow-like sound made by a snake,also taaɗoo,
taaɗogho,,tááɗɔ́ɣɔ́,to crow; to make a crow- like sound (snake),also taaɗoo,
taaɗoo,,tááɗɔɔ́,cock-crow; crow-like sound made by a snake,also taaɗogho,
taaɗoo,,tááɗɔɔ́,to crow; to make a crow- like sound (snake),also taaɗogho,
Taal,,táál,Hunting festival in Ɓwoonpee,officially spelt Bwonpe,
taal,,táál,tree sp,,
taalung,,táálúŋ,to limp,,
taalung,,táálúŋ,limping movement,,
taalung,,táálúŋ,to swim,also cutlung,
taalung,,táálúŋ,swimming,"also lúng, cutlung",
taan,,tààn,to sew,,
taandok,,táándɔ́k,nymph of plague locust,Schistocerca gregaria,
